Config;m;Run;N. medio utenti sistema;Tempo medio permanenza (s);Fattore di utilizzo;Durata media vacation (s)
m05;0.5;0;29.487664000392;5.865948298489;0.86360139379552;2.9550367604666
m05;0.5;1;29.452408878697;5.8845016958915;0.86348057919749;2.9524002977931
m05;0.5;2;29.882013705944;5.941413152722;0.86537687427365;2.9654489179835
m05;0.5;3;29.889988231409;5.9564992992799;0.86186326526692;2.9650613658954
m05;0.5;4;30.085767737981;5.9689220855087;0.86610925437033;2.968783122586
m05;0.5;5;29.674776759158;5.896878051124;0.86527746066029;2.9689006984393
m05;0.5;6;30.064506288285;5.9708764505701;0.86618234676827;2.9692773619164
m05;0.5;7;29.529433759516;5.8939843392939;0.8608716201673;2.9600968234456
m05;0.5;8;29.556982100571;5.874761867226;0.86313207575609;2.9626962990021
m05;0.5;9;29.717748625891;5.8957209324029;0.86720104959923;2.9723699147648
m05;0.5;10;30.081449067047;5.971638803058;0.86590949713502;2.967270336668
m05;0.5;11;30.327525447047;6.0062287753534;0.8695503404556;2.9460814331694
m05;0.5;12;29.666108878;5.9064642902723;0.86239368794569;2.9642056401234
m05;0.5;13;29.9934000456;5.9454751731195;0.86738950030556;2.9475558439941
m05;0.5;14;29.979433407262;5.9594204476983;0.86221041995708;2.9678135183328
m05;0.5;15;29.237339657336;5.8250287295608;0.8606586154351;2.9615027758059
m05;0.5;16;29.333906051475;5.8300525967233;0.86554596214407;2.9589497515212
m05;0.5;17;29.427401100084;5.8691096193828;0.86222761594215;2.9590477209662
m05;0.5;18;29.666766955242;5.9049505601107;0.86574707247692;2.9591014873057
m05;0.5;19;29.86181131156;5.9504019421361;0.86491168701818;2.9779376120122
m10;1.0;0;16.995608046979;6.4576593008216;0.47340033678986;2.957870747193
m10;1.0;1;16.864737373706;6.4664004941823;0.46933065173198;2.9554741208901
m10;1.0;2;16.89211552682;6.4580067942414;0.47036971314309;2.9648094377911
m10;1.0;3;16.821715485792;6.482172251324;0.46758933649946;2.95095245149
m10;1.0;4;16.879989165862;6.4543982679354;0.47204538551808;2.9481286639899
m10;1.0;5;16.920703465604;6.464546889677;0.47193762981951;2.9480971713011
m10;1.0;6;17.000167893051;6.470405118252;0.47327886198216;2.9436993651778
m10;1.0;7;16.832863941159;6.4546585619032;0.46868426541281;2.947924917705
m10;1.0;8;16.956562351867;6.461051738646;0.47399347090789;2.9379693207286
m10;1.0;9;16.870529408456;6.4478223327473;0.47001904527669;2.9440859441163
m10;1.0;10;16.963097264571;6.4829648310345;0.47400831012971;2.9551023961569
m10;1.0;11;16.928978069184;6.4763349369543;0.47547136659314;2.9476156223944
m10;1.0;12;16.927888663207;6.4176050182784;0.47454846136252;2.9542171886072
m10;1.0;13;16.952100341261;6.4674049239342;0.47539608762712;2.9613659784566
m10;1.0;14;16.858650441336;6.4513064709981;0.4714728284174;2.9466665981858
m10;1.0;15;16.924362681555;6.4583741185679;0.4722788637511;2.9626132193407
m10;1.0;16;16.884086761493;6.4439977130231;0.47360016330205;2.9598385191811
m10;1.0;17;16.934987660351;6.4719625821953;0.47180963624724;2.9525397818045
m10;1.0;18;17.016113511631;6.484193657912;0.47314077908258;2.9520103344066
m10;1.0;19;16.957287423535;6.4911849101158;0.47236191158427;2.945798567022
m14;1.4;0;15.210777772668;7.9287664136016;0.34131902612429;2.9512451612239
m14;1.4;1;15.234500245768;7.9792537143699;0.33694917914638;2.9460111973934
m14;1.4;2;15.238973445241;8.0018589727095;0.33703651825799;2.952292342008
m14;1.4;3;15.224752573254;7.9939774323689;0.34083814565707;2.9575561805544
m14;1.4;4;15.244182669687;8.0094339746217;0.33773979153983;2.9553590438116
m14;1.4;5;15.144987388995;7.968590157743;0.33716790738077;2.9555699671548
m14;1.4;6;15.232478503893;7.9185992510349;0.34096285035879;2.9351497314989
m14;1.4;7;15.188023226912;7.966668095092;0.33704624331004;2.9560004477172
m14;1.4;8;15.134467960317;7.9289266142364;0.33699409058159;2.9347872124442
m14;1.4;9;15.201598330429;7.9610088541403;0.337878911889;2.953667098326
m14;1.4;10;15.194650365566;7.9677667614839;0.33713879218184;2.9658196623964
m14;1.4;11;15.244438592083;7.9907387273243;0.33782913422598;2.9439398902508
m14;1.4;12;15.188584134961;7.9082579622985;0.33901979417697;2.9492257288091
m14;1.4;13;15.200103355309;7.9272130867579;0.34312723442151;2.9647061705689
m14;1.4;14;15.179501893489;7.9469493292166;0.33647751115323;2.9514880919817
m14;1.4;15;15.162185121528;7.904799185199;0.33814272959962;2.9510584923713
m14;1.4;16;15.214744720183;7.9496567480512;0.33847117828072;2.9546183171201
m14;1.4;17;15.171967874744;7.947115927686;0.3392746118872;2.9594311047485
m14;1.4;18;15.222448392208;7.9540699446818;0.3418376782684;2.9523061829974
m14;1.4;19;15.158499973763;7.9801432512762;0.33967697934363;2.9605505390134
m20;2.0;0;14.140765208837;10.359469646397;0.23734938177657;2.9391375020968
m20;2.0;1;14.137494124499;10.303515991547;0.24039256680575;2.9438022947619
m20;2.0;2;14.133105203314;10.409539107506;0.2383498842141;2.955633730397
m20;2.0;3;14.120888471093;10.340397080858;0.23861038522675;2.9545870092468
m20;2.0;4;14.103170880188;10.401718692862;0.23549423427678;2.9494189193336
m20;2.0;5;14.082109391827;10.326174432871;0.237551743937;2.9514267661255
m20;2.0;6;14.115270943566;10.136597254519;0.2422747236169;2.943603445362
m20;2.0;7;14.065098328439;10.376842219466;0.23349043116181;2.9392845690139
m20;2.0;8;14.097068597587;10.32039417042;0.23617633556168;2.947208309677
m20;2.0;9;14.137317243686;10.296528926714;0.23844342907835;2.9595254389797
m20;2.0;10;14.058113992133;10.301779950043;0.23671114647387;2.9469853864599
m20;2.0;11;14.028408405495;10.337754567649;0.23484856932435;2.9446709356627
m20;2.0;12;14.069724051093;10.342621837989;0.23378399322298;2.9515666020171
m20;2.0;13;14.055657651887;10.27786237755;0.23765733162114;2.9495988041984
m20;2.0;14;14.083905701323;10.37185661669;0.23607866821269;2.9560415817379
m20;2.0;15;14.070920803414;10.329816054396;0.23684084435319;2.9538466743128
m20;2.0;16;14.112356968412;10.334702381125;0.23661510762656;2.9459204417758
m20;2.0;17;14.122928039081;10.307318843152;0.23749739126015;2.9469310059407
m20;2.0;18;14.109396409414;10.326561755358;0.23812693106378;2.9681121719123
m20;2.0;19;14.076071751102;10.336228150926;0.23783768236571;2.9438351907328
